IDDPTO;IDPROV;IDDIST;NOMBDEP;NOMBPROV;NOMBDIST;X_DEP;Y_DEP;X_PROV;Y_PROV;X_DIST;Y_DIST
01;0107;010703;AMAZONAS;UTCUBAMBA;CUMBA;-78.20809973;-4.981395655;-78.39290142;-5.762233711;-78.60864225;-5.893836563
01;0103;010306;AMAZONAS;BONGARA;FLORIDA;-78.20809973;-4.981395655;-77.8956499;-5.645173275;-77.97035023;-5.814144852
01;0107;010701;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;-78.20809973;-4.981395655;-78.39290142;-5.762233711;-78.44316163;-5.820721907
01;0102;010204;AMAZONAS;BAGUA;EL PARCO;-78.20809973;-4.981395655;-78.43061565;-5.10701444;0;0
01;0102;010203;AMAZONAS;BAGUA;COPALLIN;-78.20809973;-4.981395655;-78.43061565;-5.10701444;-78.39745415;-5.647115614
01;0107;010702;AMAZONAS;UTCUBAMBA;CAJARURO;-78.20809973;-4.981395655;-78.39290142;-5.762233711;-78.16195017;-5.59267733
01;0101;010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.90342665;-6.924270744
01;0101;010103;AMAZONAS;CHACHAPOYAS;BALSAS;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.95387842;-6.784880751
01;0101;010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.8166431;-6.798020041
01;0101;010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.72728896;-6.633366657
01;0105;010517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.85875568;-6.621494581
01;0101;010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.77030364;-6.596796988
01;0105;010503;AMAZONAS;LUYA;COCABAMBA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.01904026;-6.617186734
01;0105;010521;AMAZONAS;LUYA;SANTO TOMAS;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.90791181;-6.60326654
01;0106;010602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.42926972;-6.553548899
01;0106;010611;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.46544964;-6.496095423
01;0106;010608;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.41478948;-6.500861574
01;0106;010610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.45702924;-6.45554934
01;0101;010109;AMAZONAS;CHACHAPOYAS;LA JALCA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.78758189;-6.508770915
01;0105;010511;AMAZONAS;LUYA;MARIA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.95992078;-6.503973824
01;0105;010519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.89220546;-6.484302
01;0106;010604;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.52796321;-6.437990568
01;0106;010605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.61200252;-6.562488395
01;0105;010514;AMAZONAS;LUYA;PISUQUIA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.09592902;-6.467187778
01;0101;010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.81639966;-6.407757469
01;0105;010507;AMAZONAS;LUYA;LONGUITA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.00218022;-6.400962026
01;0105;010522;AMAZONAS;LUYA;TINGO;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.94303613;-6.388788141
01;0106;010609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.35906322;-6.415276681
01;0101;010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.82672311;-6.351299114
01;0106;010601;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.42767375;-6.360831418
01;0106;010603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.66195172;-6.382013637
01;0106;010606;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.56146501;-6.361350444
01;0101;010111;AMAZONAS;CHACHAPOYAS;LEVANTO;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.90597436;-6.315802331
01;0105;010515;AMAZONAS;LUYA;PROVIDENCIA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.29487642;-6.318783783
01;0105;010504;AMAZONAS;LUYA;COLCAMAR;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.99838869;-6.312990056
01;0105;010513;AMAZONAS;LUYA;OCUMAL;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.1511794;-6.350909589
01;0101;010104;AMAZONAS;CHACHAPOYAS;CHETO;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.67398216;-6.298431733
01;0101;010120;AMAZONAS;CHACHAPOYAS;SOLOCO;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.75903341;-6.312075425
01;0105;010506;AMAZONAS;LUYA;INGUILPATA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.03113724;-6.255201291
01;0101;010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.74820486;-6.236751007
01;0106;010607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.47647332;-6.292729748
01;0101;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.84863299;-6.236461566
01;0105;010508;AMAZONAS;LUYA;LONYA CHICO;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.99438519;-6.213437674
01;0105;010523;AMAZONAS;LUYA;TRITA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;0;0
01;0105;010512;AMAZONAS;LUYA;OCALLI;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.19634495;-6.21175235
01;0101;010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.61642588;-6.227740148
01;0101;010121;AMAZONAS;CHACHAPOYAS;SONCHE;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.78427294;-6.191123049
01;0101;010108;AMAZONAS;CHACHAPOYAS;HUANCAS;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.87832568;-6.138160895
01;0105;010509;AMAZONAS;LUYA;LUYA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.98264865;-6.167373183
01;0105;010502;AMAZONAS;LUYA;CAMPORREDONDO;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.34070145;-6.179103098
01;0105;010501;AMAZONAS;LUYA;LAMUD;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.92352808;-6.107546481
01;0105;010516;AMAZONAS;LUYA;SAN CRISTOBAL;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-77.94639997;-6.075388465
01;0101;010107;AMAZONAS;CHACHAPOYAS;GRANADA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.57562657;-6.098498511
01;0105;010510;AMAZONAS;LUYA;LUYA VIEJO;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.13767361;-6.098999727
01;0101;010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.68022873;-6.085790372
01;0103;010311;AMAZONAS;BONGARA;VALERA;-78.20809973;-4.981395655;-77.8956499;-5.645173275;-77.86264711;-6.083350223
01;0105;010505;AMAZONAS;LUYA;CONILA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.22851336;-6.09806949
01;0105;010520;AMAZONAS;LUYA;SANTA CATALINA;-78.20809973;-4.981395655;-78.13096146;-6.334828784;-78.09294915;-6.068487818
01;0106;010612;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;-78.20809973;-4.981395655;-77.42474033;-6.343353366;-77.33027473;-6.209940213
01;0101;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.75913622;-6.062873882
01;0103;010303;AMAZONAS;BONGARA;CHURUJA;-78.20809973;-4.981395655;-77.8956499;-5.645173275;-77.92590539;-6.014181264
01;0107;010706;AMAZONAS;UTCUBAMBA;LONYA GRANDE;-78.20809973;-4.981395655;-78.39290142;-5.762233711;-78.40426422;-6.068381216
01;0103;010309;AMAZONAS;BONGARA;SAN CARLOS;-78.20809973;-4.981395655;-77.8956499;-5.645173275;-77.85990094;-6.014181712
01;0101;010102;AMAZONAS;CHACHAPOYAS;ASUNCION;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.75517623;-5.984908904
01;0101;010116;AMAZONAS;CHACHAPOYAS;OLLEROS;-78.20809973;-4.981395655;-77.79355687;-6.481063529;-77.66896929;-6.012772168
01;0107;010707;AMAZONAS;UTCUBAMBA;YAMON;-78.20809973;-4.981395655;-78.39290142;-5.762233711;-78.53764143;-6.011786023
01;0103;010307;AMAZONAS;BONGARA;JAZAN;-78.20809973;-4.981395655;-77.8956499;-5.645173275;-78.0217159;-5.942980721
