DEPARTAMENTO;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;1;6;6;17;3;6;5;6;;10;24;39;35
ANCASH;56;45;76;102;155;183;219;298;287;275;410;444;474
APURIMAC;;;;;2;12;9;59;55;75;109;109;164
AREQUIPA;49;93;191;300;293;309;333;419;431;420;515;706;1129
AYACUCHO;13;12;17;13;3;29;39;80;146;138;151;167;167
CAJAMARCA;2;43;55;57;47;64;58;119;51;59;171;401;319
CALLAO;78;77;91;102;305;386;495;705;615;672;724;618;992
CUSCO;46;76;102;134;17;153;138;318;361;459;485;512;739
HUANCAVELICA;1;1;2;19;3;19;10;47;85;78;101;129;143
HUANUCO;1;3;17;9;11;97;78;107;155;167;210;230;195
ICA;30;40;50;87;96;76;115;145;214;225;266;300;395
JUNIN;4;10;31;44;39;85;127;208;245;299;336;390;439
LA LIBERTAD;3;11;20;60;65;234;125;536;597;563;673;947;718
LAMBAYEQUE;28;20;25;49;225;43;57;58;67;106;104;281;220
LORETO;3;18;10;18;25;88;68;80;70;38;79;120;112
MADRE DE DIOS;1;;;;;;;;;;;2;
MOQUEGUA;5;7;7;11;23;15;19;44;22;9;22;24;125
PASCO;3;17;32;40;57;61;74;79;67;101;92;96;165
PIURA;18;29;84;117;102;84;122;196;226;316;216;292;321
PUNO;11;37;37;38;34;35;46;70;122;152;183;213;243
SAN MARTIN;10;10;7;47;2;61;41;42;38;34;80;96;80
TACNA;18;20;38;44;70;100;174;241;199;186;190;298;221
TUMBES;5;;9;3;2;;26;31;12;12;17;70;112
UCAYALI;;37;46;79;13;52;53;73;96;65;61;125;168
LIMA;647;775;1342;1639;1992;2417;2801;3586;3785;4114;4655;5573;7046
