DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;ALTERACION DEL AMBIENTE O PAISAJE;;;4;1;1;;;;3
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;CONTAMINACION DEL MEDIO AMBIENTE;;;2;1;3;3;2;6;5
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;CONTAMINACION DEL MEDIO AMBIENTE AGRAVADA;;;;;;1;;1;1
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;DELITOS CONTRA LOS BOSQUES O FORMACIONES BOSCOSAS;;;4;5;9;9;8;6;5
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;DELITOS CONTRA LOS BOSQUES O FORMACIONES BOSCOSAS AGRAVADA;;;;;;1;;1;1
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;DEPREDACION DE FLORA Y FAUNA SILVESTRE;;;5;3;1;4;1;2;
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;EXTRACCION ILEGAL DE ESPECIES ACUATICAS;;;2;;;;;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;OTROS DELITOS CONTRA LOS RECURSOS NATURALES;;;1;;;;;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;TRAFICO ILEGAL DE ESPECIES DE FLORA Y FAUNA SILVESTRE;;;2;;2;2;2;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;TRAFICO ILEGAL DE ESPECIES DE FLORA Y FAUNA SILVESTRE PROTEGIDA AGRAVADA;;;1;;;;;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;TRAFICO ILEGAL DE PRODUCTOS FORESTALES MADERABLES;;;7;12;21;12;13;5;13
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;TRAFICO ILEGAL DE PRODUCTOS ILEGALES MADERABLES AGRAVADA;;;;;2;;;;1
AMAZONAS;DELITOS AMBIENTALES;DELITOS CONTRA LOS RECURSOS NATURALES;TRAFICO ILEGAL, DEPREDACION DE ESPECIES FLORA Y FAUNA SILVESTRE;;;;2;;;;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS DE CONTAMINACION;CONTAMINACION DEL AMBIENTE;;;2;1;;;;;
AMAZONAS;DELITOS AMBIENTALES;DELITOS DE CONTAMINACION;DELITO DE MINERIA ILEGAL;;;;3;;;1;2;
AMAZONAS;DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;ATENTADOS CONTRA LA SEGURIDAD NACIONAL Y TRAICION A LA PATRIA;DESTRUCCION O ALTERACION DE HITOS FRONTERIZOS;;;;;1;;;;
AMAZONAS;DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;ATENTADOS CONTRA LA SEGURIDAD NACIONAL Y TRAICION A LA PATRIA;OTROS DELITOS CONTRA LA SEGURIDAD NACIONAL Y TRAICION A LA PATRIA;;;1;;;;;;
AMAZONAS;DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;ATENTADOS CONTRA LA SEGURIDAD NACIONAL Y TRAICION A LA PATRIA;TRAICION A LA PATRIA;;1;;;;;;;
AMAZONAS;DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;DELITOS CONTRA LOS SIMBOLOS Y VALORES DE LA PATRIA;ULTRAJE A LOS SIMBOLOS Y VALORES DE LA PATRIA;1;;;;;;;;
AMAZONAS;DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;OTROS DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;OTROS DELITOS CONTRA EL ESTADO Y LA DEFENSA NACIONAL;2;;;;;;;;
AMAZONAS;DELITOS CONTRA EL HONOR;INJURIA, CALUMNIA Y DIFAMACION;CALUMNIA;;6;3;2;5;2;3;3;1
AMAZONAS;DELITOS CONTRA EL HONOR;INJURIA, CALUMNIA Y DIFAMACION;DIFAMACION;;1;6;9;7;3;5;1;2
AMAZONAS;DELITOS CONTRA EL HONOR;INJURIA, CALUMNIA Y DIFAMACION;INJURIA;;1;;4;;1;;2;4
AMAZONAS;DELITOS CONTRA EL HONOR;OTROS;OTROS DELITOS CONTRA EL HONOR;10;;;;;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;OTROS DELITOS ECONOMICOS;APROVECHAR INDEBIDAMENTE REPUTACION INDUSTRIAL O COMERCIAL DE OTRO;;;;;;1;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;OTROS DELITOS ECONOMICOS;FRAUDE EN REMATES, LICITACIONES Y CONCURSOS PUBLICOS;;;2;;1;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;OTROS DELITOS ECONOMICOS;INFORMACIONES FALSAS SOBRE CALIDAD DE PRODUCTOS;;;;;1;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;OTROS DELITOS ECONOMICOS;OTROS DELITOS ECONOMICOS;1;;;;;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;VENTA ILICITA DE MERCADERIAS;OTROS DELITOS DE VENTA ILICITA DE MERCADERIA;;;1;;;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN ECONOMICO;VENTA ILICITA DE MERCADERIAS;VENTA ILEGAL DE MERCADERIAS;;;;2;;;1;;
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;ALTERACION DE BILLETES Y MONEDAS;;;1;2;2;;;1;1
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;EMISION ILEGAL DE BILLETES Y OTROS;;3;4;2;;;;;1
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;FABRICACION O INDUCCION DE INSTRUMENTOS PARA FALSIFICACION DE BILLETES O MONEDA;;2;2;;3;;;3;1
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;FABRICACION Y FALSIFICACION DE MONEDA DE CURSO LEGAL;1;8;2;6;;2;1;5;1
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;OTROS DELITOS MONETARIOS;8;1;;;;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITO MONETARIO;TRAFICO DE MONEDA FALSA;;10;3;12;7;4;3;2;2
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;FINANCIAMIENTO POR MEDIO DE INFORMACION FRAUDULENTA;;;1;;;;;;
AMAZONAS;DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;OTROS DELITOS FINANCIEROS;1;;;;;;;;
AMAZONAS;DELITOS CONTRA EL PATRIMONIO;ABIGEATO;HURTO DE GANADO;52;75;88;90;97;53;66;48;58
AMAZONAS;DELITOS CONTRA EL PATRIMONIO;ABIGEATO;HURTO DE USO DE GANADO;;;;2;1;1;3;;1
