DEPARTAMENTO;2019;2020;2021;2022
LIMA;1199048;1223042;1307897;1382660
LA LIBERTAD;140743;142305;155546;159733
AREQUIPA;143971;145910;158235;158415
PIURA;113881;116552;127826;130916
CUSCO;101789;102697;110572;118718
JUNIN;97430;97053;105468;111190
LAMBAYEQUE;91121;92295;100769;103450
CALLAO;87449;90061;96493;102912
ANCASH;77464;77328;84168;88625
ICA;66008;66711;72994;78252
CAJAMARCA;61923;63272;71280;78147
PUNO;61685;64559;73573;76705
SAN MARTIN;54040;54027;60588;62254
LORETO;45904;48433;54182;53848
HUANUCO;42278;43232;47320;48249
UCAYALI;40109;39134;43692;45857
TACNA;40015;39491;41879;42548
AYACUCHO;34853;34910;38702;39937
APURIMAC;26019;26973;30363;32720
TUMBES;20426;20700;22209;22573
MADRE DE DIOS;18425;19292;21635;21325
AMAZONAS;17245;17819;20213;21158
MOQUEGUA;16438;16559;18114;18380
PASCO;16221;16085;17576;18078
HUANCAVELICA;13666;14046;15656;16348
