DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;2;122;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;802;30;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;1;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;;33;187;88;51;68;93;31
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;694;18;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;7;4;3;1;;2;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;11;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;8;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;27;2;8;5;5;4;2
AMAZONAS;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;804;69;31;6;5;8;10;5
AMAZONAS;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;31;13;8;14;9;13;5
AMAZONAS;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;48;4;115;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;65;;63;35;54;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;23;1;1;2;3;3;1
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;;175;102;106;70;72;78;40
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;102;115;155;181;64
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;1940;20;;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;1;2;1;5;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;;2;9;1;1;45;1
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;1;698;13;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;3;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;10;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;18;;;;;
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;597;37;20;8;19;15;4
AMAZONAS;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;;4;;;;;;
AMAZONAS;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);12;;;;;;;
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;CONSUMIR ALIMENTOS SABIENDO QUE NO PUEDE PAGAR;;1;;;;;;
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;495;486;;;;;;
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1179;425;;;;;;
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;4;5;2;4;4;1;2
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;305;331;574;616;401;399;368;248
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;269;158;;;;;
ANCASH;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;20;6;1;2;2;3;
