DEPARTAMENTO;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;;5;3;7;5;4;7;14;17;18;27;25;23
ANCASH;69;93;90;116;127;96;136;125;110;152;165;154;175
APURIMAC;9;11;9;7;16;14;14;21;20;27;23;25;19
AREQUIPA;127;137;143;232;245;218;220;209;199;196;222;213;191
AYACUCHO;30;41;42;71;73;74;74;75;83;93;115;109;128
CAJAMARCA;33;27;31;43;40;52;44;54;42;49;55;49;49
CALLAO;32;27;33;51;77;75;72;70;85;64;65;74;51
CUSCO;93;101;115;189;180;189;184;204;208;221;246;244;235
HUANCAVELICA;14;21;21;28;38;42;41;61;43;53;61;57;64
HUANUCO;18;18;21;48;54;63;58;68;62;102;104;117;122
ICA;50;94;99;113;122;106;114;108;117;157;122;147;104
JUNIN;96;94;77;141;135;138;136;150;153;190;208;192;167
LA LIBERTAD;79;108;89;132;107;96;91;107;134;124;150;151;148
LAMBAYEQUE;14;16;16;27;85;36;34;36;58;73;48;71;53
LORETO;20;24;15;52;19;45;48;49;53;50;55;48;60
MADRE DE DIOS;13;12;13;22;10;20;18;23;23;22;25;24;33
MOQUEGUA;22;17;18;20;17;15;24;23;18;23;31;32;43
PASCO;24;30;26;44;45;36;35;43;30;45;44;31;31
PIURA;111;159;142;172;155;125;143;131;100;154;139;151;141
PUNO;54;54;47;76;71;108;98;112;109;127;135;150;135
SAN MARTIN;17;26;19;43;38;43;42;39;44;44;41;46;66
TACNA;98;65;71;87;84;70;75;81;65;73;77;77;70
TUMBES;24;29;40;53;28;36;48;46;28;45;51;51;32
UCAYALI;12;20;21;30;29;29;32;39;49;42;50;56;61
LIMA;861;924;989;948;840;884;924;980;762;992;1102;1208;1205
