DEPARTAMENTO;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;84;84;84;84;84;84;84;84;84;84;84;84;84;84
ANCASH;166;166;166;166;166;166;166;166;166;166;166;166;166;166
APURIMAC;80;80;80;80;80;80;81;81;84;84;84;84;84;84
AREQUIPA;109;109;109;109;109;109;109;109;109;109;109;109;109;109
AYACUCHO;111;112;112;112;115;115;116;116;119;119;119;119;119;119
CAJAMARCA;127;127;127;127;127;127;127;127;127;127;127;127;127;127
CUSCO;108;108;108;108;108;108;110;110;112;112;112;112;112;112
HUANCAVELICA;94;95;95;95;95;95;97;97;100;100;100;100;100;100
HUANUCO;76;77;77;77;77;77;77;77;83;84;84;84;84;84
ICA;43;43;43;43;43;43;43;43;43;43;43;43;43;43
JUNIN;123;123;123;123;123;123;123;123;124;124;124;124;124;124
LA LIBERTAD;83;83;83;83;83;83;83;83;83;83;83;83;83;83
LAMBAYEQUE;38;38;38;38;38;38;38;38;38;38;38;38;38;38
LIMA;171;171;171;171;171;171;171;171;171;171;171;171;171;171
LORETO;51;51;51;51;51;51;53;53;53;53;53;53;53;53
MADRE DE DIOS;11;11;11;11;11;11;11;11;11;11;11;11;11;11
MOQUEGUA;20;20;20;20;20;20;20;20;20;20;20;20;20;20
PASCO;28;29;29;29;29;29;29;29;29;29;29;29;29;29
PIURA;64;64;64;64;65;65;65;65;65;65;65;65;65;65
CALLAO;6;6;6;6;6;6;7;7;7;7;7;7;7;7
PUNO;109;109;109;109;109;109;109;109;109;110;110;110;110;110
SAN MARTIN;77;77;77;77;77;77;77;77;77;77;77;77;77;77
TACNA;27;27;27;27;27;27;27;27;28;28;28;28;28;28
TUMBES;13;13;13;13;13;13;13;13;13;13;13;13;13;13
UCAYALI;15;15;15;15;15;15;15;15;17;17;17;17;17;17
