Año;Departamento;CUI;Proyecto;PIA;PIM;Certificación;CompromisoAnual;AtencióndeCompromisoMensual;Devengado;Girado
2024;AMAZONAS;2460206;2460206: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE CHACHAPOYAS - PROVINCIA DE CHACHAPOYAS - DEPARTAMENTO DE AMAZONAS;0.00;3868493.00;0.00;0.00;0.00;0.00;0.00
2024;AMAZONAS;2623387;2623387: CREACION DEL SERVICIO POLICIAL OPERATIVO BASICO EN LA COMISARIA SECTORIAL PNP CONDORCANQUI DE CENTRO POBLADO JUAN VELASCO ALVARADO DISTRITO DE NIEVA DE LA PROVINCIA DE CONDORCANQUI DEL DEPARTAMENTO DE AMAZONAS;0.00;3408196.00;3408165.00;3383803.00;3383803.00;2423656.00;2423656.00
2024;AMAZONAS;2633004;"2633004: REPARACION DE AMBIENTE ADMINISTRATIVO; EN EL(LA) PUESTO DE AUXILIO RAPIDO DISTRITO DE SAN CARLOS, PROVINCIA BONGARA, DEPARTAMENTO AMAZONAS";0.00;35764.00;27264.00;27264.00;27264.00;27264.00;22764.00
2024;AMAZONAS;3000355;3000355: PATRULLAJE POR SECTOR;2691115.00;2911219.00;2051738.00;1951812.00;1131176.00;945786.00;919734.00
2024;AMAZONAS;3000356;3000356: COMUNIDAD ORGANIZADA A FAVOR DE LA SEGURIDAD CIUDADANA;1510831.00;2970374.00;1920679.00;1568999.00;1052845.00;777425.00;774157.00
2024;ANCASH;2017436;2017436: AMPLIACION DEL SERVICIO DE SERENAZGO;0.00;9744.00;9743.00;9743.00;9743.00;9743.00;9743.00
2024;ANCASH;2187131;2187131: INSTALACION DEL SISTEMA DE VIDEOVIGILANCIA Y SEGURIDAD CIUDADANA EN LA LOCALIDAD DE COISHCO, DISTRITO DE COISHCO - SANTA - ANCASH;0.00;38389.00;38389.00;38389.00;38389.00;38389.00;38389.00
2024;ANCASH;2455922;2455922: MEJORAMIENTO DE LA CAPACIDAD OPERATIVA DEL SISTEMA DE SEGURIDAD CIUDADANA DEL DISTRITO DE CONCHUCOS - PROVINCIA DE PALLASCA - DEPARTAMENTO DE ANCASH;0.00;367706.00;367706.00;294311.00;294311.00;268511.00;268511.00
2024;ANCASH;2471673;2471673: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL AMBITO URBANO Y RURAL DEL DISTRITO DE MORO - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH;0.00;25000.00;25000.00;25000.00;25000.00;25000.00;25000.00
2024;ANCASH;2475713;2475713: MEJORAMIENTO Y AMPLIACION DEL SERVICIO INTEGRAL DE SEGURIDAD CIUDADANA DEL DISTRITO DE HUARI - PROVINCIA DE HUARI - DEPARTAMENTO DE ANCASH;0.00;192018.00;182017.00;180197.00;180197.00;18020.00;18020.00
2024;ANCASH;2477793;2477793: RECUPERACION DEL SISTEMA INTEGRADO DE SEGURIDAD CIUDADANA EN EL AMBITO URBANO Y RURAL DE HUALLANCA, DISTRITO DE HUALLANCA - PROVINCIA DE BOLOGNESI - DEPARTAMENTO DE ANCASH;0.00;4000.00;4000.00;4000.00;4000.00;0.00;0.00
2024;ANCASH;2481600;2481600: RECUPERACION DEL SISTEMA INTEGRAL DE LOS SERVICIOS DE SEGURIDAD CIUDADANA EN EL DISTRITO DE PARIACOTO - PROVINCIA DE HUARAZ - DEPARTAMENTO DE ANCASH;213272.00;565693.00;381303.00;321091.00;321091.00;141641.00;141641.00
2024;ANCASH;2533316;2533316: CREACION DEL SISTEMA DE VIDEOVIGILANCIA EN LA LOCALIDAD DE CASMA DEL DISTRITO DE CASMA - PROVINCIA DE CASMA - DEPARTAMENTO DE ANCASH;0.00;34000.00;34000.00;34000.00;34000.00;0.00;0.00
2024;ANCASH;2547744;2547744: CREACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL DEL DISTRITO DE ANRA - PROVINCIA DE HUARI - DEPARTAMENTO DE ANCASH;0.00;40000.00;35000.00;35000.00;35000.00;35000.00;35000.00
2024;ANCASH;2573642;"2573642: ADQUISICION DE CAMIONETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE BUENAVISTA ALTA DISTRITO DE BUENA VISTA ALTA, PROVINCIA CASMA, DEPARTAMENTO ANCASH";98582.00;98582.00;0.00;0.00;0.00;0.00;0.00
2024;ANCASH;2573946;2573946: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LOCALIDAD DE COISHCO DISTRITO DE COISHCO DE LA PROVINCIA DE SANTA DEL DEPARTAMENTO DE ANCASH;646790.00;646790.00;0.00;0.00;0.00;0.00;0.00
