DEPARTAMENTO;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;;2;3;5;5;10;4;3;5;4;15;12;11
ANCASH;45;59;54;71;90;78;88;79;75;86;102;97;113
APURIMAC;8;9;9;11;8;6;9;16;22;24;28;28;28
AREQUIPA;86;93;110;162;162;173;171;173;179;181;193;195;209
AYACUCHO;9;13;16;23;29;33;43;33;45;51;71;71;66
CAJAMARCA;19;37;31;49;111;43;59;53;50;55;64;60;54
CALLAO;119;128;133;107;106;107;107;96;87;88;85;84;89
CUSCO;37;52;59;89;88;102;112;117;115;130;138;148;149
HUANCAVELICA;2;3;5;5;6;8;7;11;19;16;22;18;25
HUANUCO;13;13;13;20;23;24;36;36;34;48;50;65;57
ICA;36;50;47;76;80;86;86;80;75;98;98;122;119
JUNIN;43;53;52;61;70;87;85;86;94;96;125;125;135
LA LIBERTAD;49;68;69;136;114;148;139;146;116;136;159;143;193
LAMBAYEQUE;42;45;46;47;55;55;49;52;53;61;69;71;53
LORETO;13;16;15;18;18;15;25;25;19;18;22;18;22
MADRE DE DIOS;2;5;3;4;5;8;7;11;9;8;11;11;12
MOQUEGUA;5;5;4;8;12;9;11;11;9;9;11;12;16
PASCO;13;17;18;21;23;23;26;27;26;35;21;32;37
PIURA;62;76;72;97;130;95;90;79;74;79;96;93;91
PUNO;20;20;22;32;37;35;51;53;51;75;86;93;76
SAN MARTIN;6;8;8;13;17;16;18;23;20;20;22;24;31
TACNA;38;32;36;44;41;37;36;36;30;40;41;44;39
TUMBES;16;9;13;18;13;15;21;19;20;25;22;20;18
UCAYALI;6;8;8;14;18;19;23;15;17;23;27;35;32
LIMA;703;817;851;1026;894;988;1054;1053;912;962;1089;1183;1092
