DEPARTAMENTO;TASA ANUAL;2007;2017;2018;2019;2020;2021;2022;2023
AMAZONAS;1.84%;105254;126347;128676;131048;133464;135924;138430;140982
ANCASH;2.67%;286726;373138;383098;393324;403823;414602;425669;437031
APURIMAC;2.21%;130646;162509;166095;169760;173506;177334;181247;185246
AREQUIPA;4.47%;318092;492546;514560;537558;561584;586684;612906;640300
AYACUCHO;2.06%;199674;244862;249909;255060;260317;265682;271158;276747
CAJAMARCA;1.96%;380722;462354;471424;480671;490100;499714;509516;519511
CALLAO;2.49%;206373;263912;270483;277217;284119;291193;298443;305874
CUSCO;1.87%;335660;403873;411414;419096;426922;434894;443014;451286
HUANCAVELICA;0.74%;140024;150791;151912;153042;154180;155326;156481;157645
HUANUCO;1.36%;208745;239000;242257;245558;248904;252296;255734;259219
ICA;3.61%;185126;263918;273444;283314;293541;304137;315115;326490
JUNIN;2.76%;304884;400316;411367;422723;434393;446385;458708;471371
LA LIBERTAD;2.56%;393197;506109;519048;532318;545927;559884;574198;588878
LAMBAYEQUE;2.48%;253468;323707;331723;339937;348354;356980;365819;374877
LIMA;3.00%;2045820;2750622;2833265;2918391;3006075;3096394;3189426;3285253
LORETO;1.55%;176536;205832;209017;212251;215535;218870;222256;225695
MADRE DE DIOS;5.17%;28594;47330;49776;52349;55055;57901;60894;64041
MOQUEGUA;3.50%;53175;75013;77639;80357;83170;86081;89094;92213
PASCO;1.33%;72996;83272;84376;85495;86628;87777;88941;90120
PIURA;2.82%;389083;514055;528575;543505;558856;574641;590872;607561
PUNO;1.85%;460091;552496;562701;573094;583679;594460;605440;616623
SAN MARTIN;2.71%;184375;241000;247542;254261;261163;268252;275534;283013
TACNA;3.90%;91312;133879;139101;144527;150165;156022;162108;168431
TUMBES;2.99%;51366;68943;71002;73123;75307;77556;79872;82258
UCAYALI;2.96%;98925;132475;136401;140443;144605;148890;153302;157845
